Num,BuildingCode,Name,Division,Floor,RestRoom,Room,Info
215,,,,,,202-1,백순현 교수연구실
216,,,,,,202-2,김윤희 교수연구실
217,,,,,,203,산업디자인학과 실기실2
218,,,,3F,None,301,산업디자인학과 실기실3
219,,,,,,302,섬유디자인실
220,,,,,,302-1,실습재료실
221,,,,,,302-2,공예기자재실
222,,,,,,303,섬유디자인실
223,,,,,,304,석재혁 교수연구실
224,,,,4F,None,401,멀티미디어실 2/Active Learning강의실
225,,,,,,402,공예디자인 학과사무실
226,,,,,,402-2,공예디자인 컴퓨터실
227,,,,,,403,공예디자인 실기실
228,,,,,,404,박한힘 교수연구실
229,,,,5F,None,501,멀티미디어실 3/공동강의실
230,,,,,,502,섬유디자인실
231,,,,,,503,3D 프린트실
232,,,,,,503-1,통신기계실
